Metro,datetime,isPartial,Black Lives Matter,Political Correctness,Make America Great Again,Euthanasia,Starbucks,rel_pop_Black Lives Matter,rel_pop_Political Correctness,rel_pop_Make America Great Again,rel_pop_Euthanasia,rel_pop_Starbucks
Boston-Cambridge-Newton,2016-11-01,False,21.428571428571427,0.0,100.0,33.333333333333336,80.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2016-12-01,False,17.857142857142858,100.0,20.0,66.66666666666667,78.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2017-01-01,False,17.857142857142858,0.0,40.0,33.333333333333336,63.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2017-02-01,False,10.714285714285714,0.0,20.0,66.66666666666667,66.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2017-03-01,False,10.714285714285714,0.0,20.0,66.66666666666667,64.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2017-04-01,False,10.714285714285714,0.0,0.0,66.66666666666667,87.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2017-05-01,False,7.142857142857143,0.0,0.0,66.66666666666667,73.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2017-06-01,False,7.142857142857143,0.0,20.0,33.333333333333336,74.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2017-07-01,False,7.142857142857143,0.0,20.0,33.333333333333336,72.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2017-08-01,False,17.857142857142858,0.0,20.0,33.333333333333336,69.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2017-09-01,False,7.142857142857143,0.0,20.0,66.66666666666667,66.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2017-10-01,False,7.142857142857143,0.0,0.0,33.333333333333336,70.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2017-11-01,False,7.142857142857143,0.0,20.0,66.66666666666667,78.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2017-12-01,False,10.714285714285714,0.0,0.0,66.66666666666667,84.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2018-01-01,False,7.142857142857143,0.0,0.0,33.333333333333336,62.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2018-02-01,False,10.714285714285714,0.0,0.0,66.66666666666667,62.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2018-03-01,False,7.142857142857143,0.0,20.0,66.66666666666667,65.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2018-04-01,False,7.142857142857143,0.0,20.0,66.66666666666667,88.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2018-05-01,False,7.142857142857143,0.0,20.0,66.66666666666667,74.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2018-06-01,False,3.5714285714285716,0.0,20.0,66.66666666666667,71.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2018-07-01,False,7.142857142857143,100.0,0.0,33.333333333333336,74.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2018-08-01,False,3.5714285714285716,0.0,20.0,33.333333333333336,77.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2018-09-01,False,3.5714285714285716,0.0,0.0,33.333333333333336,70.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2018-10-01,False,3.5714285714285716,100.0,20.0,66.66666666666667,66.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2018-11-01,False,3.5714285714285716,0.0,20.0,33.333333333333336,76.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2018-12-01,False,3.5714285714285716,0.0,20.0,33.333333333333336,85.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2019-01-01,False,3.5714285714285716,100.0,20.0,66.66666666666667,75.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2019-02-01,False,3.5714285714285716,0.0,20.0,66.66666666666667,71.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2019-03-01,False,3.5714285714285716,0.0,0.0,33.333333333333336,76.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2019-04-01,False,7.142857142857143,0.0,0.0,66.66666666666667,78.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2019-05-01,False,7.142857142857143,0.0,0.0,33.333333333333336,100.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2019-06-01,False,3.5714285714285716,0.0,0.0,100.0,79.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2019-07-01,False,0.0,0.0,0.0,66.66666666666667,88.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2019-08-01,False,3.5714285714285716,0.0,20.0,66.66666666666667,83.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2019-09-01,False,3.5714285714285716,0.0,0.0,66.66666666666667,78.0,28.0,1.0,5.0,3.0,100.0
Boston-Cambridge-Newton,2019-10-01,False,3.5714285714285716,0.0,0.0,66.66666666666667,75.0,28.0,1.0,5.0,3.0,100.0
