Metro,datetime,term_Fire,term_Water Damage,term_Smoke,term_Wildfire,term_Flooding
Riverside-San Bernardino-Ontario,2014-02-01,78,1,21,0,0
San Diego-Carlsbad,2014-02-01,79,2,18,1,0
Oxnard-Thousand Oaks-Ventura,2014-02-01,78,1,21,0,0
Bakersfield,2014-02-01,76,0,23,1,0
Salinas,2014-02-01,74,2,24,0,0
San Francisco-Oakland-Hayward,2014-02-01,78,2,20,0,0
San Jose-Sunnyvale-Santa Clara,2014-02-01,78,2,20,0,0
Stockton-Lodi,2014-02-01,79,2,18,1,0
Sacramento--Roseville--Arden-Arcade,2014-02-01,79,2,18,1,0
Chico,2014-02-01,88,0,11,0,1
Urban Honolulu,2014-02-01,76,0,21,3,0
Portland-Vancouver-Hillsboro,2014-02-01,76,3,19,1,1
Eugene,2014-02-01,73,6,20,1,0
Medford,2014-02-01,83,2,13,0,2
Seattle-Tacoma-Bellevue,2014-02-01,78,1,20,0,1
Spokane-Spokane Valley,2014-02-01,83,1,16,0,0
Anchorage,2014-02-01,76,1,23,0,0
Springfield,2014-03-01,83,0,17,0,0
Worcester,2014-03-01,86,1,13,0,0
Boston-Cambridge-Newton,2014-03-01,86,1,13,0,0
Providence-Warwick,2014-03-01,85,0,15,0,0
Manchester-Nashua,2014-03-01,86,1,13,0,0
Concord,2014-03-01,86,1,13,0,0
Portland-South Portland,2014-03-01,87,0,13,0,0
Lewiston-Auburn,2014-03-01,87,0,13,0,0
Bangor,2014-03-01,88,3,9,0,0
Augusta-Waterville,2014-03-01,74,1,25,0,0
Hartford-West Hartford-East Hartford,2014-03-01,84,0,16,0,0
Norwich-New London,2014-03-01,84,0,16,0,0
New Haven-Milford,2014-03-01,84,0,16,0,0
Bridgeport-Stamford-Norwalk,2014-03-01,84,0,16,0,0
Torrington,2014-03-01,84,0,16,0,0
New York-Newark-Jersey City,2014-03-01,83,0,17,0,0
Albany-Schenectady-Troy,2014-03-01,84,3,13,0,0
Kingston,2014-03-01,84,3,13,0,0
Syracuse,2014-03-01,84,0,16,0,0
Utica-Rome,2014-03-01,85,1,12,0,2
Watertown-Fort Drum,2014-03-01,85,0,12,0,3
Binghamton,2014-03-01,84,1,15,0,0
Batavia,2014-03-01,79,0,21,0,0
Buffalo-Cheektowaga-Niagara Falls,2014-03-01,84,1,14,1,0
Rochester,2014-03-01,79,0,21,0,0
Jamestown-Dunkirk-Fredonia,2014-03-01,87,0,12,0,1
Ithaca,2014-03-01,83,0,17,0,0
Pittsburgh,2014-03-01,85,0,15,0,0
Warren,2014-03-01,87,0,12,0,1
Erie,2014-03-01,87,0,12,0,1
Harrisburg-Carlisle,2014-03-01,89,0,10,0,1
Lancaster,2014-03-01,89,0,10,0,1
York-Hanover,2014-03-01,89,0,10,0,1
Williamsport,2014-03-01,86,1,13,0,0
Allentown-Bethlehem-Easton,2014-03-01,86,1,13,0,0
Philadelphia-Camden-Wilmington,2014-03-01,86,0,14,0,0
Washington-Arlington-Alexandria,2014-03-01,82,1,16,0,1
Baltimore-Columbia-Towson,2014-03-01,85,0,15,0,0
Charlottesville,2014-03-01,82,1,16,0,1
Richmond,2014-03-01,85,0,14,0,1
Virginia Beach-Norfolk-Newport News,2014-03-01,79,0,20,1,0
Wheeling,2014-03-01,77,0,23,0,0
Morgantown,2014-03-01,83,0,17,0,0
Raleigh,2014-03-01,84,0,15,0,1
Durham-Chapel Hill,2014-03-01,84,0,15,0,1
Charlotte-Concord-Gastonia,2014-03-01,80,1,18,0,1
ColumbiaSC,2014-03-01,89,0,10,0,1
Charleston-North Charleston,2014-03-01,90,0,10,0,0
Greenville-Anderson-Mauldin,2014-03-01,82,0,17,0,1
Atlanta-Sandy Springs-Roswell,2014-03-01,78,1,20,1,0
Athens-Clarke County,2014-03-01,88,0,10,1,1
Savannah,2014-03-01,80,0,19,0,1
Jacksonville,2014-03-01,78,0,20,1,1
Orlando-Kissimmee-Sanford,2014-03-01,81,0,19,0,0
Palm Bay-Melbourne-Titusville,2014-03-01,81,0,19,0,0
Miami-Fort Lauderdale-West Palm Beach,2014-03-01,81,0,18,1,0
Tampa-St. Petersburg-Clearwater,2014-03-01,80,1,18,0,1
Cape Coral-Fort Myers,2014-03-01,77,1,18,3,1
North Port-Sarasota-Bradenton,2014-03-01,80,1,18,0,1
Clarksville,2014-03-01,75,0,24,1,0
Nashville-Davidson--Murfreesboro--Franklin,2014-03-01,75,0,24,1,0
Memphis,2014-03-01,83,0,16,0,1
Lexington-Fayette,2014-03-01,85,0,15,0,0
Columbus,2014-03-01,80,1,18,1,0
Cleveland-Elyria,2014-03-01,82,0,17,1,0
Canton-Massillon,2014-03-01,82,0,17,1,0
Cincinnati,2014-03-01,85,0,14,1,0
Dayton,2014-03-01,83,0,17,0,0
Findlay,2014-03-01,84,0,16,0,0
Indianapolis-Carmel-Anderson,2014-03-01,80,0,20,0,0
Chicago-Naperville-Elgin,2014-03-01,78,0,18,0,4
Bloomington,2014-03-01,80,0,20,0,0
Detroit-Warren-Dearborn,2014-03-01,79,1,19,0,1
Dubuque,2014-03-01,85,0,15,0,0
Milwaukee-Waukesha-West Allis,2014-03-01,87,1,12,0,0
Racine,2014-03-01,87,1,12,0,0
Madison,2014-03-01,78,2,19,0,1
Manitowoc,2014-03-01,83,0,16,1,0
La Crosse-Onalaska,2014-03-01,81,0,19,0,0
Oshkosh-Neenah,2014-03-01,83,0,16,1,0
Minneapolis-St. Paul-Bloomington,2014-03-01,81,1,17,0,1
Fargo,2014-03-01,91,0,9,0,0
