Metro,datetime,term_techno,term_Techno
Williamsport,2014-04-01,50,50
Allentown-Bethlehem-Easton,2014-04-01,50,50
Philadelphia-Camden-Wilmington,2014-04-01,50,50
Washington-Arlington-Alexandria,2014-04-01,50,50
Baltimore-Columbia-Towson,2014-04-01,50,50
Charlottesville,2014-04-01,0,0
Richmond,2014-04-01,50,50
Virginia Beach-Norfolk-Newport News,2014-04-01,50,50
Wheeling,2014-04-01,0,0
Morgantown,2014-04-01,0,0
Raleigh,2014-04-01,50,50
Durham-Chapel Hill,2014-04-01,50,50
Charlotte-Concord-Gastonia,2014-04-01,50,50
ColumbiaSC,2014-04-01,50,50
Charleston-North Charleston,2014-04-01,0,0
Greenville-Anderson-Mauldin,2014-04-01,50,50
Atlanta-Sandy Springs-Roswell,2014-04-01,50,50
Athens-Clarke County,2014-04-01,50,50
Savannah,2014-04-01,0,0
Jacksonville,2014-04-01,50,50
Orlando-Kissimmee-Sanford,2014-04-01,50,50
Palm Bay-Melbourne-Titusville,2014-04-01,50,50
Miami-Fort Lauderdale-West Palm Beach,2014-04-01,50,50
Tampa-St. Petersburg-Clearwater,2014-04-01,50,50
Cape Coral-Fort Myers,2014-04-01,50,50
North Port-Sarasota-Bradenton,2014-04-01,50,50
Clarksville,2014-04-01,50,50
Nashville-Davidson--Murfreesboro--Franklin,2014-04-01,50,50
Memphis,2014-04-01,50,50
Lexington-Fayette,2014-04-01,50,50
Columbus,2014-04-01,50,50
Cleveland-Elyria,2014-04-01,50,50
Canton-Massillon,2014-04-01,50,50
Cincinnati,2014-04-01,50,50
Dayton,2014-04-01,50,50
Findlay,2014-04-01,0,0
Indianapolis-Carmel-Anderson,2014-04-01,50,50
Chicago-Naperville-Elgin,2014-04-01,50,50
Bloomington,2014-04-01,50,50
Detroit-Warren-Dearborn,2014-04-01,50,50
Dubuque,2014-04-01,50,50
Milwaukee-Waukesha-West Allis,2014-04-01,50,50
Racine,2014-04-01,50,50
Madison,2014-04-01,50,50
Manitowoc,2014-04-01,50,50
La Crosse-Onalaska,2014-04-01,50,50
Oshkosh-Neenah,2014-04-01,50,50
Minneapolis-St. Paul-Bloomington,2014-04-01,50,50
Fargo,2014-04-01,50,50
Helena,2014-04-01,0,0
Bozeman,2014-04-01,50,50
Missoula,2014-04-01,0,0
Kalispell,2014-04-01,0,0
Rockford,2014-04-01,0,0
St. Louis,2014-04-01,50,50
Kansas City,2014-04-01,50,50
