Metro,datetime,isPartial,Job opportunities,Unemployment,Retirement,Layoff,Starbucks,rel_pop_Job opportunities,rel_pop_Unemployment,rel_pop_Retirement,rel_pop_Layoff,rel_pop_Starbucks
Worcester,2015-12-01,False,60.0,43.0,54.54545454545455,33.333333333333336,72.41379310344827,5.0,100.0,44.0,3.0,87.0
Worcester,2016-01-01,False,60.0,51.0,59.09090909090909,66.66666666666667,65.51724137931035,5.0,100.0,44.0,3.0,87.0
Worcester,2016-02-01,False,60.0,51.0,63.63636363636363,33.333333333333336,62.06896551724138,5.0,100.0,44.0,3.0,87.0
Worcester,2016-03-01,False,20.0,39.0,68.18181818181819,33.333333333333336,60.91954022988506,5.0,100.0,44.0,3.0,87.0
Worcester,2016-04-01,False,40.0,39.0,68.18181818181819,33.333333333333336,64.36781609195403,5.0,100.0,44.0,3.0,87.0
Worcester,2016-05-01,False,60.0,38.0,59.09090909090909,66.66666666666667,70.11494252873563,5.0,100.0,44.0,3.0,87.0
Worcester,2016-06-01,False,40.0,35.0,68.18181818181819,33.333333333333336,80.45977011494253,5.0,100.0,44.0,3.0,87.0
Worcester,2016-07-01,False,40.0,42.0,50.0,0.0,78.16091954022988,5.0,100.0,44.0,3.0,87.0
Worcester,2016-08-01,False,60.0,35.0,56.81818181818182,33.333333333333336,70.11494252873563,5.0,100.0,44.0,3.0,87.0
Worcester,2016-09-01,False,40.0,32.0,56.81818181818182,33.333333333333336,63.2183908045977,5.0,100.0,44.0,3.0,87.0
Worcester,2016-10-01,False,40.0,31.0,56.81818181818182,33.333333333333336,63.2183908045977,5.0,100.0,44.0,3.0,87.0
Worcester,2016-11-01,False,40.0,37.0,50.0,33.333333333333336,79.3103448275862,5.0,100.0,44.0,3.0,87.0
Worcester,2016-12-01,False,40.0,41.0,52.27272727272727,33.333333333333336,78.16091954022988,5.0,100.0,44.0,3.0,87.0
Worcester,2017-01-01,False,60.0,53.0,70.45454545454545,66.66666666666667,63.2183908045977,5.0,100.0,44.0,3.0,87.0
Worcester,2017-02-01,False,40.0,44.0,59.09090909090909,33.333333333333336,65.51724137931035,5.0,100.0,44.0,3.0,87.0
Worcester,2017-03-01,False,40.0,35.0,68.18181818181819,33.333333333333336,63.2183908045977,5.0,100.0,44.0,3.0,87.0
Worcester,2017-04-01,False,60.0,31.0,61.36363636363637,33.333333333333336,87.35632183908046,5.0,100.0,44.0,3.0,87.0
Worcester,2017-05-01,False,40.0,28.0,61.36363636363637,33.333333333333336,72.41379310344827,5.0,100.0,44.0,3.0,87.0
Worcester,2017-06-01,False,40.0,34.0,61.36363636363637,66.66666666666667,73.5632183908046,5.0,100.0,44.0,3.0,87.0
Worcester,2017-07-01,False,40.0,33.0,59.09090909090909,33.333333333333336,72.41379310344827,5.0,100.0,44.0,3.0,87.0
Worcester,2017-08-01,False,40.0,34.0,59.09090909090909,66.66666666666667,68.96551724137932,5.0,100.0,44.0,3.0,87.0
Worcester,2017-09-01,False,40.0,28.0,61.36363636363637,33.333333333333336,65.51724137931035,5.0,100.0,44.0,3.0,87.0
Worcester,2017-10-01,False,20.0,30.0,61.36363636363637,33.333333333333336,68.96551724137932,5.0,100.0,44.0,3.0,87.0
Worcester,2017-11-01,False,40.0,29.0,61.36363636363637,33.333333333333336,78.16091954022988,5.0,100.0,44.0,3.0,87.0
Worcester,2017-12-01,False,60.0,35.0,54.54545454545455,66.66666666666667,83.9080459770115,5.0,100.0,44.0,3.0,87.0
Worcester,2018-01-01,False,60.0,44.0,72.72727272727273,66.66666666666667,60.91954022988506,5.0,100.0,44.0,3.0,87.0
Worcester,2018-02-01,False,40.0,36.0,81.81818181818181,66.66666666666667,62.06896551724138,5.0,100.0,44.0,3.0,87.0
Worcester,2018-03-01,False,60.0,33.0,65.9090909090909,33.333333333333336,65.51724137931035,5.0,100.0,44.0,3.0,87.0
Worcester,2018-04-01,False,40.0,37.0,75.0,33.333333333333336,88.50574712643679,5.0,100.0,44.0,3.0,87.0
Worcester,2018-05-01,False,40.0,28.0,61.36363636363637,33.333333333333336,73.5632183908046,5.0,100.0,44.0,3.0,87.0
Worcester,2018-06-01,False,40.0,24.0,72.72727272727273,33.333333333333336,71.26436781609195,5.0,100.0,44.0,3.0,87.0
Worcester,2018-07-01,False,40.0,36.0,65.9090909090909,33.333333333333336,73.5632183908046,5.0,100.0,44.0,3.0,87.0
