Metro,datetime,isPartial,Getaway,Places to go,Tourists attraction,Flight tickets,Starbucks,rel_pop_Getaway,rel_pop_Places to go,rel_pop_Tourists attraction,rel_pop_Flight tickets,rel_pop_Starbucks
Boston-Cambridge-Newton,2015-10-01,False,33.333333333333336,41.666666666666664,,50.0,58.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2015-11-01,False,44.44444444444444,41.666666666666664,,75.0,90.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2015-12-01,False,44.44444444444444,50.0,,50.0,76.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2016-01-01,False,66.66666666666667,58.333333333333336,,50.0,62.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2016-02-01,False,77.77777777777777,66.66666666666667,,75.0,55.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2016-03-01,False,55.55555555555556,66.66666666666667,,50.0,61.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2016-04-01,False,55.55555555555556,66.66666666666667,,50.0,60.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2016-05-01,False,55.55555555555556,75.0,,50.0,65.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2016-06-01,False,88.88888888888889,50.0,,50.0,74.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2016-07-01,False,55.55555555555556,66.66666666666667,,50.0,73.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2016-08-01,False,55.55555555555556,66.66666666666667,,50.0,69.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2016-09-01,False,33.333333333333336,50.0,,50.0,59.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2016-10-01,False,33.333333333333336,50.0,,25.0,61.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2016-11-01,False,44.44444444444444,50.0,,75.0,78.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2016-12-01,False,44.44444444444444,41.666666666666664,,50.0,79.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2017-01-01,False,66.66666666666667,58.333333333333336,,75.0,67.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2017-02-01,False,55.55555555555556,66.66666666666667,,100.0,66.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2017-03-01,False,66.66666666666667,66.66666666666667,,75.0,61.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2017-04-01,False,33.333333333333336,50.0,,75.0,85.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2017-05-01,False,44.44444444444444,41.666666666666664,,75.0,71.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2017-06-01,False,55.55555555555556,75.0,,75.0,70.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2017-07-01,False,55.55555555555556,50.0,,50.0,72.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2017-08-01,False,55.55555555555556,66.66666666666667,,50.0,71.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2017-09-01,False,66.66666666666667,58.333333333333336,,75.0,62.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2017-10-01,False,55.55555555555556,41.666666666666664,,50.0,63.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2017-11-01,False,77.77777777777777,58.333333333333336,,50.0,80.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2017-12-01,False,88.88888888888889,58.333333333333336,,75.0,80.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2018-01-01,False,88.88888888888889,66.66666666666667,,75.0,67.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2018-02-01,False,77.77777777777777,75.0,,75.0,58.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2018-03-01,False,44.44444444444444,58.333333333333336,,50.0,63.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2018-04-01,False,66.66666666666667,58.333333333333336,,50.0,88.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2018-05-01,False,55.55555555555556,75.0,,50.0,73.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2018-06-01,False,77.77777777777777,66.66666666666667,,75.0,69.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2018-07-01,False,88.88888888888889,83.33333333333333,,50.0,74.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2018-08-01,False,77.77777777777777,66.66666666666667,,75.0,75.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2018-09-01,False,66.66666666666667,58.333333333333336,,50.0,72.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2018-10-01,False,66.66666666666667,58.333333333333336,,50.0,64.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2018-11-01,False,66.66666666666667,58.333333333333336,,50.0,75.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2018-12-01,False,77.77777777777777,58.333333333333336,,75.0,84.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2019-01-01,False,100.0,58.333333333333336,,50.0,67.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2019-02-01,False,88.88888888888889,100.0,,75.0,69.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2019-03-01,False,77.77777777777777,83.33333333333333,,75.0,67.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2019-04-01,False,77.77777777777777,58.333333333333336,,75.0,76.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2019-05-01,False,55.55555555555556,83.33333333333333,,50.0,100.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2019-06-01,False,100.0,75.0,,75.0,79.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2019-07-01,False,88.88888888888889,66.66666666666667,,75.0,85.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2019-08-01,False,66.66666666666667,75.0,,50.0,82.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2019-09-01,False,88.88888888888889,41.666666666666664,,50.0,85.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2019-10-01,False,77.77777777777777,58.333333333333336,,75.0,75.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2019-11-01,False,77.77777777777777,58.333333333333336,,50.0,96.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2019-12-01,False,100.0,66.66666666666667,,50.0,87.0,9.0,12.0,0.0,4.0,100.0
Boston-Cambridge-Newton,2020-01-01,False,100.0,58.333333333333336,,50.0,81.0,9.0,12.0,0.0,4.0,100.0
Providence-Warwick,2014-01-01,False,75.0,25.925925925925927,,83.33333333333333,52.0,16.0,27.0,0.0,6.0,100.0
Providence-Warwick,2014-02-01,False,50.0,22.22222222222222,,0.0,41.0,16.0,27.0,0.0,6.0,100.0
Providence-Warwick,2014-03-01,False,43.75,40.74074074074074,,100.0,44.0,16.0,27.0,0.0,6.0,100.0
Providence-Warwick,2014-04-01,False,31.25,22.22222222222222,,0.0,43.0,16.0,27.0,0.0,6.0,100.0
Providence-Warwick,2014-05-01,False,18.75,18.51851851851852,,16.666666666666668,59.0,16.0,27.0,0.0,6.0,100.0
Providence-Warwick,2014-06-01,False,31.25,29.62962962962963,,100.0,50.0,16.0,27.0,0.0,6.0,100.0
