Metro,datetime,isPartial,apartment for rent,studio for rent,1 bedroom for rent,3 bedroom for rent,starbucks,rel_pop_apartment for rent,rel_pop_studio for rent,rel_pop_1 bedroom for rent,rel_pop_3 bedroom for rent,rel_pop_starbucks
Boston-Cambridge-Newton,2014-03-01,False,62.5,25.0,33.333333333333336,33.333333333333336,46.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2014-04-01,False,50.0,25.0,33.333333333333336,33.333333333333336,51.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2014-05-01,False,43.75,25.0,0.0,33.333333333333336,63.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2014-06-01,False,56.25,50.0,33.333333333333336,33.333333333333336,53.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2014-07-01,False,50.0,50.0,33.333333333333336,33.333333333333336,60.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2014-08-01,False,56.25,25.0,33.333333333333336,33.333333333333336,52.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2014-09-01,False,56.25,25.0,33.333333333333336,33.333333333333336,53.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2014-10-01,False,50.0,75.0,33.333333333333336,33.333333333333336,51.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2014-11-01,False,43.75,25.0,33.333333333333336,0.0,65.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2014-12-01,False,37.5,25.0,33.333333333333336,33.333333333333336,69.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2015-01-01,False,68.75,50.0,33.333333333333336,33.333333333333336,56.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2015-02-01,False,56.25,50.0,0.0,33.333333333333336,57.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2015-03-01,False,62.5,75.0,0.0,0.0,58.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2015-04-01,False,62.5,75.0,33.333333333333336,33.333333333333336,64.0,16.0,4.0,3.0,3.0,100.0
Boston-Cambridge-Newton,2015-05-01,False,68.75,50.0,0.0,33.333333333333336,59.0,16.0,4.0,3.0,3.0,100.0
