Metro,datetime,isPartial,Twitter,Hashtag,Tender Age Shelter,Fake News,Starbucks,rel_pop_Twitter,rel_pop_Hashtag,rel_pop_Tender Age Shelter,rel_pop_Fake News,rel_pop_Starbucks
Boston-Cambridge-Newton,2015-12-01,False,70.0,50.0,,0.0,70.37037037037037,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2016-01-01,False,78.0,50.0,,0.0,62.96296296296296,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2016-02-01,False,78.0,50.0,,0.0,62.96296296296296,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2016-03-01,False,82.0,50.0,,0.0,59.25925925925926,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2016-04-01,False,76.0,50.0,,0.0,62.96296296296296,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2016-05-01,False,76.0,50.0,,0.0,70.37037037037037,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2016-06-01,False,75.0,50.0,,0.0,81.48148148148148,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2016-07-01,False,80.0,50.0,,0.0,77.77777777777777,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2016-08-01,False,72.0,50.0,,0.0,70.37037037037037,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2016-09-01,False,73.0,50.0,,0.0,62.96296296296296,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2016-10-01,False,83.0,50.0,,0.0,62.96296296296296,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2016-11-01,False,82.0,50.0,,50.0,77.77777777777777,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2016-12-01,False,67.0,50.0,,100.0,77.77777777777777,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2017-01-01,False,88.0,50.0,,100.0,62.96296296296296,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2017-02-01,False,100.0,50.0,,100.0,66.66666666666667,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2017-03-01,False,81.0,50.0,,100.0,62.96296296296296,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2017-04-01,False,74.0,50.0,,50.0,85.18518518518519,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2017-05-01,False,75.0,50.0,,50.0,70.37037037037037,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2017-06-01,False,78.0,50.0,,50.0,74.07407407407408,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2017-07-01,False,81.0,50.0,,50.0,70.37037037037037,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2017-08-01,False,78.0,50.0,,50.0,66.66666666666667,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2017-09-01,False,71.0,50.0,,50.0,66.66666666666667,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2017-10-01,False,72.0,50.0,,50.0,70.37037037037037,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2017-11-01,False,74.0,50.0,,50.0,77.77777777777777,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2017-12-01,False,73.0,50.0,,50.0,81.48148148148148,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2018-01-01,False,84.0,50.0,,100.0,59.25925925925926,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2018-02-01,False,75.0,100.0,,50.0,62.96296296296296,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2018-03-01,False,82.0,50.0,,50.0,62.96296296296296,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2018-04-01,False,75.0,0.0,,50.0,88.88888888888889,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2018-05-01,False,72.0,50.0,,50.0,74.07407407407408,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2018-06-01,False,75.0,50.0,,0.0,70.37037037037037,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2018-07-01,False,68.0,50.0,,50.0,74.07407407407408,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2018-08-01,False,74.0,50.0,,0.0,74.07407407407408,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2018-09-01,False,82.0,50.0,,50.0,70.37037037037037,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2018-10-01,False,73.0,50.0,,50.0,66.66666666666667,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2018-11-01,False,67.0,50.0,,50.0,74.07407407407408,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2018-12-01,False,73.0,50.0,,50.0,85.18518518518519,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2019-01-01,False,77.0,50.0,,50.0,74.07407407407408,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2019-02-01,False,76.0,50.0,,0.0,70.37037037037037,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2019-03-01,False,71.0,50.0,,50.0,74.07407407407408,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2019-04-01,False,71.0,50.0,,50.0,77.77777777777777,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2019-05-01,False,71.0,50.0,,0.0,100.0,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2019-06-01,False,75.0,50.0,,0.0,77.77777777777777,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2019-07-01,False,73.0,50.0,,0.0,85.18518518518519,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2019-08-01,False,72.0,50.0,,0.0,81.48148148148148,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2019-09-01,False,76.0,50.0,,50.0,77.77777777777777,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2019-10-01,False,76.0,50.0,,50.0,74.07407407407408,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2019-11-01,False,72.0,50.0,,50.0,92.5925925925926,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2019-12-01,False,76.0,50.0,,50.0,85.18518518518519,100.0,2.0,0.0,2.0,27.0
Boston-Cambridge-Newton,2020-01-01,False,79.0,50.0,,50.0,74.07407407407408,100.0,2.0,0.0,2.0,27.0
Providence-Warwick,2014-01-01,False,86.0,0.0,,0.0,50.0,100.0,2.0,0.0,2.0,20.0
Providence-Warwick,2014-02-01,False,92.0,50.0,,0.0,40.0,100.0,2.0,0.0,2.0,20.0
Providence-Warwick,2014-03-01,False,88.0,50.0,,0.0,45.0,100.0,2.0,0.0,2.0,20.0
Providence-Warwick,2014-04-01,False,100.0,50.0,,0.0,45.0,100.0,2.0,0.0,2.0,20.0
Providence-Warwick,2014-05-01,False,94.0,50.0,,0.0,60.0,100.0,2.0,0.0,2.0,20.0
Providence-Warwick,2014-06-01,False,84.0,50.0,,0.0,50.0,100.0,2.0,0.0,2.0,20.0
Providence-Warwick,2014-07-01,False,97.0,50.0,,0.0,45.0,100.0,2.0,0.0,2.0,20.0
Providence-Warwick,2014-08-01,False,87.0,50.0,,0.0,55.0,100.0,2.0,0.0,2.0,20.0
Providence-Warwick,2014-09-01,False,85.0,50.0,,50.0,50.0,100.0,2.0,0.0,2.0,20.0
Providence-Warwick,2014-10-01,False,73.0,0.0,,0.0,55.0,100.0,2.0,0.0,2.0,20.0
