Metro,datetime,isPartial,Gun range,Gun licence,Gun control,Gun violence,Starbucks,rel_pop_Gun range,rel_pop_Gun licence,rel_pop_Gun control,rel_pop_Gun violence,rel_pop_Starbucks
Boston-Cambridge-Newton,2019-01-01,False,60.0,0.0,13.333333333333334,12.5,67.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2019-02-01,False,40.0,0.0,6.666666666666667,25.0,69.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2019-03-01,False,60.0,0.0,13.333333333333334,12.5,67.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2019-04-01,False,60.0,0.0,13.333333333333334,25.0,76.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2019-05-01,False,40.0,0.0,13.333333333333334,25.0,100.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2019-06-01,False,40.0,0.0,13.333333333333334,25.0,79.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2019-07-01,False,60.0,0.0,6.666666666666667,12.5,85.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2019-08-01,False,40.0,0.0,40.0,37.5,82.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2019-09-01,False,60.0,0.0,20.0,37.5,85.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2019-10-01,False,40.0,0.0,26.666666666666668,25.0,75.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2019-11-01,False,60.0,0.0,13.333333333333334,12.5,96.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2019-12-01,False,20.0,0.0,13.333333333333334,12.5,87.0,5.0,1.0,15.0,8.0,100.0
Boston-Cambridge-Newton,2020-01-01,False,60.0,0.0,13.333333333333334,12.5,81.0,5.0,1.0,15.0,8.0,100.0
Providence-Warwick,2014-01-01,False,62.5,,25.0,27.272727272727273,52.0,8.0,0.0,20.0,11.0,100.0
Providence-Warwick,2014-02-01,False,25.0,,10.0,0.0,41.0,8.0,0.0,20.0,11.0,100.0
Providence-Warwick,2014-03-01,False,25.0,,40.0,18.181818181818183,44.0,8.0,0.0,20.0,11.0,100.0
Providence-Warwick,2014-04-01,False,75.0,,5.0,0.0,43.0,8.0,0.0,20.0,11.0,100.0
