Metro,datetime,isPartial,home for rent,house for rent,townhome for rent,townhouse for rent,starbucks,rel_pop_home for rent,rel_pop_house for rent,rel_pop_townhome for rent,rel_pop_townhouse for rent,rel_pop_starbucks
Boston-Cambridge-Newton,2017-06-01,False,80.0,78.57142857142857,,0.0,68.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2017-07-01,False,80.0,85.71428571428571,,100.0,70.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2017-08-01,False,60.0,85.71428571428571,,0.0,64.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2017-09-01,False,40.0,57.142857142857146,,100.0,66.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2017-10-01,False,40.0,57.142857142857146,,0.0,60.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2017-11-01,False,40.0,42.857142857142854,,100.0,79.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2017-12-01,False,40.0,50.0,,0.0,85.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2018-01-01,False,60.0,71.42857142857143,,100.0,64.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2018-02-01,False,40.0,71.42857142857143,,0.0,57.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2018-03-01,False,60.0,71.42857142857143,,100.0,69.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2018-04-01,False,40.0,78.57142857142857,,100.0,82.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2018-05-01,False,60.0,57.142857142857146,,100.0,75.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2018-06-01,False,80.0,71.42857142857143,,100.0,71.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2018-07-01,False,60.0,71.42857142857143,,100.0,74.0,5.0,14.0,0.0,1.0,100.0
Boston-Cambridge-Newton,2018-08-01,False,40.0,57.142857142857146,,0.0,74.0,5.0,14.0,0.0,1.0,100.0
