,ZIP,arima_params,arima_seasonal,RSME,Predictions_2019,Conf_interval_2019
702,33973,"(4, 1, 0)","(0, 0, 0, 12)",34.081930613039134,"[1113.1946339041617, 1125.2412856651813, 1137.4323663287769, 1147.9719956863198, 1156.2663824361596, 1162.6159200486309, 1167.7301784805165, 1172.5126782565824, 1177.7044100720282, 1183.6957004460148, 1190.5303902750627, 1197.988093527041]","[[1100.0235807727433, 1126.36568703558], [1112.180645545548, 1138.3019257848146], [1124.4793609947299, 1150.385371662824], [1135.1240946471828, 1160.8198967254568], [1143.5209986936463, 1169.0117661786728], [1149.9706445411675, 1175.2611955560942], [1155.1825680035508, 1180.2777889574822], [1160.0608587887007, 1184.964497724464], [1165.3458261864766, 1190.0629939575797], [1171.4284701401862, 1195.9629307518435], [1178.3523363071072, 1202.7084442430182], [1185.8977736615363, 1210.0784133925456]]"
703,34203,"(0, 2, 1)","(0, 0, 0, 12)",27.13637199550224,"[1496.1460094540248, 1496.2932010248824, 1496.4414393973202, 1496.5905972538055, 1496.7405637701584, 1496.8912423859106, 1497.0425488630658, 1497.1944095471283, 1497.3467599724559, 1497.499543597988, 1497.6527108016603, 1497.8062179110068]","[[1475.4753285197326, 1516.816690388317], [1475.799189726192, 1516.7872123235727], [1476.1194616227813, 1516.7634171718591], [1476.436381928676, 1516.7448125789351], [1476.7500154708307, 1516.731112069486], [1477.0604293743083, 1516.7220553975128], [1477.3676946880737, 1516.717403038058], [1477.6718848428272, 1516.7169342514294], [1477.9730741390906, 1516.720445805821], [1478.2713375165238, 1516.727749679452], [1478.566750280884, 1516.7386713224366], [1478.8593864632935, 1516.75304935872]]"
704,34207,"(1, 1, 0)","(0, 0, 0, 12)",9.166422873022121,"[1186.5869285242966, 1190.056054804446, 1192.2107182668017, 1193.549307954569, 1194.3811115998192, 1194.8981183688663, 1195.2195367198585, 1195.4194037583197, 1195.5437134381175, 1195.6210454493394, 1195.6691627964833, 1195.6991081598437]","[[1163.2161798815614, 1209.9576771670318], [1166.8811714920555, 1213.2309381168363], [1169.2266346818496, 1215.1948018517537], [1170.7513867815053, 1216.3472291276328], [1171.7649012164457, 1216.9973219831927], [1172.4593406709128, 1217.33689606682], [1172.9540803021887, 1217.4849931375284], [1173.323312299886, 1217.5154952167534], [1173.6131798999195, 1217.4742469763155], [1173.852403339955, 1217.3896875587238], [1174.058878690121, 1217.2794469028456], [1174.2437757857062, 1217.1544405339812]]"
705,34208,"(1, 1, 0)","(1, 0, 0, 12)",36.37609846355864,"[1193.7127406445193, 1190.1686996400808, 1192.2375186984964, 1197.129020413534, 1201.2054151983152, 1207.7468788252836, 1210.6047608010695, 1208.1106342705255, 1203.1339598431266, 1198.1511816444956, 1196.4955216529793, 1196.924665263844]","[[1179.2024701156522, 1208.2230111733863], [1175.7831648021624, 1204.5542344779992], [1177.9732423861306, 1206.5017950108622], [1182.9828744146394, 1211.2751664124285], [1187.17443505896, 1215.2363953376705], [1193.8283025280496, 1221.6654551225176], [1196.7958186952567, 1224.4137029068822], [1194.4087918760792, 1221.8124766649717], [1189.5367049067877, 1216.7312147794655], [1184.6560907604278, 1211.6462725285635], [1183.1003115542185, 1209.89073175174], [1183.627142396465, 1210.222188131223]]"
706,34210,"(1, 1, 0)","(0, 0, 0, 12)",26.485207003187096,"[1285.642635357611, 1289.1812776454565, 1291.401022681744, 1292.7937868789609, 1293.6678769165571, 1294.2165838108401, 1294.561109815037, 1294.7774804774901, 1294.9133943016843, 1294.9987881465977, 1295.0524512298305, 1295.0861805477502]","[[1266.805697891016, 1304.479572824206], [1270.5022151511314, 1307.8603401397816], [1272.8757609719019, 1309.9262843915863], [1274.4185948179465, 1311.1689789399752], [1275.4391909253786, 1311.8965629077356], [1276.1306531283647, 1312.3025144933156], [1276.6150580798994, 1312.5071615501747], [1276.967982235027, 1312.5869787199533], [1277.2374972654588, 1312.5892913379098], [1277.4529978380058, 1312.5445784551896], [1277.63447984463, 1312.4704226150309], [1277.7931995709098, 1312.3791615245907]]"
707,34232,"(1, 1, 1)","(1, 0, 0, 12)",146.18017223706542,"[1536.6896630061497, 1547.6010988837684, 1560.4416232397577, 1569.218396019022, 1575.7954395045551, 1582.372576403696, 1586.9790321189025, 1593.1839580812525, 1600.0243356867668, 1605.8171050631754, 1609.9104569642666, 1617.279648721251]","[[1523.073650498164, 1550.3056755141354], [1534.1006468394262, 1561.1015509281106], [1547.0536199986313, 1573.8296264808841], [1555.940520048444, 1582.4962719896002], [1562.6246296362933, 1588.966249372817], [1569.30675863957, 1595.438394167822], [1574.0148884577316, 1599.9431757800735], [1580.3194886972456, 1606.0484274652595], [1587.257528698861, 1612.7911426746725], [1593.145146562376, 1618.4890635639747], [1597.3319895518541, 1622.488924376679], [1604.7924022800328, 1629.7668951624694]]"
708,34683,"(1, 1, 0)","(0, 0, 0, 12)",14.622152485763932,"[1120.4374474085257, 1123.773556644723, 1127.9222138286002, 1132.4186964180249, 1137.0641130265985, 1141.773318325689, 1146.50985029877, 1151.2580895038238, 1156.0113425818552, 1160.7667401788387, 1165.52305181727, 1170.2797496681746]","[[1110.0367185027767, 1130.8381763142747], [1113.4598792270647, 1134.0872340623812], [1117.693439606681, 1138.1509880505193], [1122.272760335495, 1142.5646325005548], [1126.9990332888617, 1147.1291927643354], [1131.7871912486398, 1151.759445402738], [1136.60084597416, 1156.4188546233802], [1141.4244481579121, 1161.0917308497355], [1146.251370072116, 1165.7713150915943], [1151.078805077556, 1170.4546752801216], [1155.9055820940355, 1175.1405215405046], [1160.731229696932, 1179.8282696394174]]"
709,34698,"(1, 1, 0)","(0, 0, 1, 12)",39.044733224857964,"[1258.955548543339, 1266.2103034208262, 1272.3460545927414, 1277.2476815843308, 1284.5018279633646, 1288.8378201711998, 1292.0921400939596, 1295.6961551089273, 1300.2477500215796, 1304.713904035082, 1310.5852883031334, 1314.6049041117437]","[[1248.7656574530918, 1269.1454396335864], [1256.1066809996728, 1276.3139258419797], [1262.3263659084396, 1282.3657432770433], [1267.3098596562565, 1287.1855035124051], [1274.6438959117193, 1294.35976001501], [1279.057714569898, 1298.6179257725016], [1282.3881302565658, 1301.7961499313535], [1286.0665129668903, 1305.3257972509643], [1290.6907549038865, 1309.8047451392727], [1295.2279476646013, 1314.1998604055625], [1301.1687873036872, 1320.0017893025797], [1305.2563681974111, 1323.9534400260764]]"
710,37040,"(3, 0, 0)","(0, 0, 0, 12)",16.531652054665706,"[748.0537295749849, 751.9827619876644, 752.5846580311853, 751.7689603202074, 750.8255524176088, 750.2113541979752, 749.9054851698328, 749.754038774795, 749.639202868589, 749.5119754507214, 749.3678372873445, 749.2174477724278]","[[738.1445568376133, 757.9629023123565], [742.1551481433403, 761.8103758319885], [742.7992627691406, 762.3700532932301], [741.992871516336, 761.5450491240788], [741.0542052487278, 760.5968995864898], [740.4455584962615, 759.9771498996889], [740.1467107695605, 759.6642595701051], [740.0037223162955, 759.5043552332946], [739.8987828153021, 759.3796229218759], [739.7828853054393, 759.2410655960034], [739.6515022321878, 759.0841723425012], [739.5152834884169, 758.9196120564387]]"
711,37042,"(3, 0, 0)","(0, 0, 0, 12)",13.546919628019028,"[720.3195127846474, 720.8649481634371, 719.9348013415355, 718.5620371602805, 717.3864506955675, 716.5465359024248, 715.9454277792157, 715.466383179219, 715.0472297893201, 714.67082733382, 714.3370606979571, 714.0458520748565]","[[714.7012058854308, 725.937819683864], [715.2930451349484, 726.4368511919258], [714.3776064895806, 725.4919961934904], [713.0070767405398, 724.1169975800212], [711.8343335215001, 722.938567869635], [710.9982939355518, 722.0947778692978], [710.4023062444808, 721.4885493139507], [709.9298486076275, 721.0029177508104], [709.5189920430442, 720.575467535596], [709.1528678828687, 720.1887867847712], [708.8316628458613, 719.8424585500529], [708.5556272992332, 719.5360768504798]]"
712,37075,"(4, 1, 0)","(0, 0, 0, 12)",36.46111544528714,"[1115.105526531675, 1119.2956701098274, 1128.440181402679, 1143.9848645944317, 1159.10793653226, 1170.1094284703827, 1176.3533818259627, 1177.3663223773983, 1175.5779549900155, 1173.8371489850542, 1174.1718871782803, 1177.8620648086303]","[[1099.650585592338, 1130.5604674710119], [1103.9703662079155, 1134.6209740117392], [1113.2415034914377, 1143.6388593139202], [1128.9092331562722, 1159.0604960325911], [1144.1530675766212, 1174.062805487899], [1155.2722763333757, 1184.9465806073897], [1161.6316092901839, 1191.0751543617416], [1162.7562491367642, 1191.9763956180325], [1161.0774635451398, 1190.0784464348912], [1159.4458828602405, 1188.228415109868], [1159.8807429589433, 1188.4630313976172], [1163.6798964907596, 1192.044233126501]]"
713,37076,"(1, 1, 0)","(0, 0, 0, 12)",19.50750683991992,"[1105.0609377869741, 1098.4002132106186, 1093.4359329838053, 1089.7350925648707, 1086.9755210333306, 1084.9173271473273, 1083.3819289974754, 1082.2362730880648, 1081.3812638073603, 1080.7430269752583, 1080.266510459812, 1079.9106687387907]","[[1089.1428086969117, 1120.9790668770365], [1082.6153869160526, 1114.1850395051847], [1077.7813975594966, 1109.090468408114], [1074.2071043872766, 1105.2630807424648], [1071.5716485866146, 1102.3793934800465], [1069.6340297352474, 1100.2006245594073], [1068.2170556181306, 1098.54680237682], [1067.186448200158, 1097.2860979759714], [1066.4446034239927, 1096.3179241907278], [1065.9162819072574, 1095.5697720432593], [1065.5476578346656, 1094.9853630849584], [1065.2973795091623, 1094.5239579684192]]"
714,37115,"(1, 1, 0)","(0, 0, 0, 12)",76.0312847684759,"[1170.5799268139165, 1177.7317794523447, 1184.040665371447, 1189.85176724284, 1195.368843076995, 1200.712198393912, 1205.9528868236862, 1211.132884853479, 1216.276997240347, 1221.3998853177295, 1226.5102169394477, 1231.6131176959764]","[[1154.646603733658, 1186.513249894175], [1161.9320074754723, 1193.531551429217], [1168.3708003988156, 1199.7105303440783], [1174.308818445289, 1205.394716040391], [1179.949778316053, 1210.7879078379372], [1185.414100778364, 1216.0102960094603], [1190.7729523589835, 1221.1328212883889], [1196.0684169438596, 1226.1973527630985], [1201.3254001456608, 1231.2285943350334], [1206.5586589835098, 1236.2411116519493], [1211.7769524330795, 1241.2434814458159], [1216.9854921769133, 1246.2407432150394]]"
715,37211,"(1, 1, 0)","(0, 0, 0, 12)",17.611549240957387,"[1204.0, 1204.0, 1204.0, 1204.0, 1204.0, 1204.0, 1204.0, 1204.0, 1204.0, 1204.0, 1204.0, 1204.0]","[[1187.9603468815455, 1220.0396531184545], [1188.0951310373173, 1219.9048689626827], [1188.2257174628726, 1219.7742825371274], [1188.3539550307307, 1219.6460449692693], [1188.4783303276097, 1219.5216696723903], [1188.6006082237075, 1219.3993917762925], [1188.7191730512598, 1219.2808269487402], [1188.835471597701, 1219.164528402299], [1188.9491480900547, 1219.0508519099453], [1189.0603053020052, 1218.9396946979948], [1189.1690339709705, 1218.8309660290295], [1189.2754217640288, 1218.7245782359712]]"
716,37214,"(1, 1, 1)","(0, 0, 0, 12)",39.77909166829293,"[1150.1151025684924, 1148.1283299523752, 1146.7606680895972, 1145.8186724908212, 1145.1699176870034, 1144.722983730777, 1144.4150721785882, 1144.202896530437, 1144.0566766747675, 1143.9558943928625, 1143.886422127472, 1143.8385261998662]","[[1138.310340097101, 1161.9198650398837], [1136.422693915608, 1159.8339659891424], [1135.151475724866, 1158.3698604543283], [1134.3035773696417, 1157.3337676120007], [1133.746666515838, 1156.5931688581688], [1133.3894136701992, 1156.0565537913549], [1133.1691056018935, 1155.6610387552828], [1133.0425366906334, 1155.3632563702408], [1132.9800055705139, 1155.133347779021], [1132.9610780061134, 1154.9507107796117], [1132.9713713869062, 1154.801472868038], [1133.0019212063785, 1154.675131193354]]"
