,0_lower_bound,0_upper_bound,1_lower_bound,1_upper_bound,2_lower_bound,2_upper_bound,3_lower_bound,3_upper_bound,4_lower_bound,4_upper_bound,5_lower_bound,5_upper_bound,6_lower_bound,6_upper_bound,7_lower_bound,7_upper_bound,8_lower_bound,8_upper_bound,9_lower_bound,9_upper_bound,10_lower_bound,10_upper_bound,11_lower_bound,11_upper_bound
13208,883.9428460727407,859.610960503811,882.8658998976613,858.738280904735,885.8750375621795,861.9461329090419,889.677184614982,865.9424104628456,892.8354391964224,869.2899508781859,894.1912149790469,870.8304780541303,893.9765924511886,870.7964213577994,892.7733139418159,869.7697229675288,891.4017126610295,868.5705148293712,890.3916392478392,867.7289868636145,889.965265305514,867.4676816896825,890.0292651622251,867.6927258941116
13440,758.870960825988,736.1228357459413,757.4111275734539,734.8547720368196,755.2384865737779,732.8688412895065,756.4089226898068,734.2214075518975,758.2330605625085,736.2232571981359,759.8743495455672,738.0380390418379,759.493844589773,737.8269798361597,757.3246076020671,735.8232914290263,754.3863630804746,733.0468351775809,753.5281230930589,732.3467655303127,752.9309733982683,731.9043137124403,753.9006314613852,733.0253248581258
13501,850.2172184468011,809.4723661558244,848.0548831693488,807.6515141928096,846.6311221988447,806.5604071665753,845.6747314601555,805.9285877917707,845.014705709995,805.5853716580673,844.543089434089,805.4231108429695,844.1916964955793,805.3739110815687,843.9174296319477,805.3949588458818,843.6930056080275,805.4592864281581,843.50152305293,805.5495268949351,843.3313011060004,805.6557124131289,843.1759422878616,805.770559789842
13502,831.381270733253,807.429898253056,828.9397227619861,805.1950143356755,828.9435940772223,805.4013577886062,832.2373544323355,808.8912570174675,837.4340028490253,814.2790195090497,838.7197850330069,815.7511937151855,832.6593909542659,809.8727680307051,828.4062745334058,805.7969780325948,824.8652330392017,802.4291086108865,823.5081094866517,801.2412326199293,820.6257751642746,798.5243789317918,821.2427613810202,799.3031996132964
13601,867.621169139739,850.5690747013176,869.1812844568047,852.139284548132,866.2802037908251,849.2479902699178,861.3899794459128,844.3648113824913,856.2277851309298,839.2095116722378,851.7960562521887,834.7857273529069,848.5276755577005,831.5266828053424,846.464092221191,829.4738973794296,845.4212960747913,828.4433573345287,845.1210476321369,828.1567951678537,845.2802659718194,828.3310915632165,845.661795230113,828.7290469846872
13760,909.9322935622833,877.0231956257148,909.3440905228406,876.7106841649158,909.4063882252914,877.0416801077916,909.5848249378898,877.4822757431684,909.622922669582,877.7762749810164,909.5146584524914,877.9178732647254,909.3463500422856,877.9936407461148,909.1858952854066,878.071692678767,909.0543286606355,878.1733139297403,908.9435967173455,878.2905090911171,908.8398850079955,878.4098060828212,908.735586181069,878.5236976293079
13903,857.8380229901777,819.2787824629995,860.8096580680026,822.5701091936614,863.1276846388228,825.1905945179769,864.8745718645724,827.2330513056298,866.2571839505831,828.7102364934663,867.3579546579349,829.8264752050843,868.2290011472181,830.7218731025256,868.9321520107169,831.4551950436507,869.5018449396173,832.0619306199885,869.9598086873427,832.5633890319862,870.3211786488946,832.9744903509882,870.5982313288368,833.3072460061665
14020,1243.7613895394716,1165.7581082456704,1240.9377198196662,1163.5876452868447,1239.4388855461946,1162.706028980933,1238.5510447803638,1162.4589564933765,1237.9867724068263,1162.4819972944724,1237.552085159971,1162.658518926475,1237.210624044278,1162.8768040997472,1236.8892996389388,1163.1393470507849,1236.6081412516792,1163.3924470628622,1236.3221864575676,1163.665006182925,1236.0636681427218,1163.9171275858944,1235.7946656296272,1164.183074829817
14043,984.1185569972193,964.3544913840534,985.9840082413522,966.3854886264418,986.5341954981964,967.0969804276845,986.3184155959145,967.0387045272121,985.8717309554042,966.7455307753382,985.4956767954968,966.5198051773302,985.2757165248096,966.4464422425352,985.178360720772,966.4923984199589,985.1395681845987,966.5935740831854,985.1106449768241,966.70159596516,985.0695941956143,966.7944614137742,985.0137527599499,966.8697049311194
14150,905.0913132331032,882.5350319691936,901.837684424323,879.4715293229501,900.3147041590325,878.1350106857669,899.9700392163898,877.9718451514079,901.5232952609298,879.7018234673477,904.0303672060276,882.3819655266867,906.4797189468338,884.9997527608225,908.1397209740655,886.8248615452587,908.4188397175635,887.2649269356307,907.3135037445444,886.317228798259,905.2926710066142,884.4506108850162,903.0716496757678,882.3799450905896
14201,957.5557267913592,918.1209958426231,959.1033868669351,919.9991570346626,959.8104545287496,921.0281716399342,959.8877500481178,921.4196066642667,959.690946190527,921.5294132333408,959.4451775626056,921.5830382121216,959.234527467081,921.6648606474511,959.0660756324174,921.782197520493,958.9231951703052,921.9186677014707,958.7908194146323,922.0594640815534,958.6613868010442,922.1972449019403,958.5328451592824,922.3301632423453
14206,829.5545829875084,812.588253117455,831.0827647203405,814.2584236225475,832.6128178135983,815.9269659365519,834.1445017090348,817.5937744633654,835.6778260057623,819.2589927348232,837.2125862861388,820.9227558814813,838.7490592792226,822.5848168955965,840.2867891057844,824.2456175795006,841.8260350347385,825.904904866098,843.3665109046628,827.562961976133,844.9083094264411,829.2196973477267,846.4513503801396,830.87519062016
14207,842.1782877644331,823.4618803745224,847.3175786129999,828.7608869064869,851.4235567912757,833.0223790571519,855.6691977124372,837.420092486075,860.4789141269918,842.3776996334501,864.7720770760943,846.8150819110017,868.5230210697187,850.7074605149232,872.3369070738779,854.6590045436565,875.3460319902086,857.8026413847593,878.274767602921,860.8632259446465,880.3262947562667,863.0433617268978,884.284972270274,867.1278181476771
14208,832.5687588015847,812.9953541685546,836.8813831557035,817.4720588098472,839.9810156232783,820.732196158211,842.223367959439,823.1301047980216,844.0071983359842,825.0673853530602,845.6808156764082,826.8900462967024,847.4863917615746,828.8427269405715,849.5539711948256,831.0515806567473,851.9073801944331,833.5494204482194,854.5153137345117,836.2894136251421,857.2947912551496,839.2029532962539,860.1662031629413,842.2029739029257
14209,1060.725076073701,1019.7851801531574,1057.453077954896,1016.8597979815268,1057.646642189598,1017.390653053963,1061.5892351245695,1021.6622514980016,1063.9423576340005,1024.3362850095223,1065.5094407447395,1026.2166593145107,1066.142999696986,1027.1561891777774,1065.2127358356818,1026.5249084590043,1061.6307093260145,1023.234969740534,1059.0834341732245,1020.973284776259,1058.03626563052,1020.2053372142789,1054.6181887391374,1017.0604611367041
14210,811.7694453522345,794.9797752462632,815.653563369545,799.0055297214758,817.6267914545051,801.1164887620168,818.7661133354213,802.3905177259019,820.1208690565826,803.8767271974338,820.704516568866,804.5887532442607,822.1249377333897,806.1344121146099,824.4487610400156,808.5806899413913,827.2015478018146,811.4530975834542,829.6222346187072,813.9907686417017,831.6732322409744,816.1561360727874,834.209786053528,818.8045713969013
14211,809.5157755511796,791.8428166299586,811.7131477377443,794.1881356926469,813.9142730918107,796.533641549618,816.1156423979044,798.875877419317,818.3197251007464,801.2174534414057,820.5245865560712,803.5565698196463,822.7315237278356,805.8946471057927,824.9394789638256,808.2307487464941,827.1491301399769,810.5656616565684,829.3598865077357,812.8989044734452,831.5720950419546,815.2309249722513,833.7854190576937,817.5614808711533
14212,798.4020769720344,781.3345256897962,800.4687331899293,783.5442525857493,800.9161227029433,784.1310190052552,800.4903444252036,783.8412221993315,799.8699406645386,783.3535462111907,799.4123904585258,783.0255990852618,799.1914030735384,782.9312107729313,799.1347391083,782.9982556676641,799.1427556496023,783.1272000023923,799.1479165180565,783.2506100190899,799.1248251929669,783.3431864620845,799.0760229631951,783.407563439863
14213,897.5512000098,868.2738570080741,898.6480008324942,869.6161879729465,899.3066438502217,870.5133295190819,899.6860367224092,871.1265183772039,899.8892080360889,871.5567701333933,899.9799159521084,871.8703741318244,900.0007282791555,872.1076955449682,899.9767229936206,872.2965402013442,899.9259898573699,872.4525610665158,899.8582074426747,872.5876078515141,899.7805031986221,872.7082934631109,899.6971776717246,872.8190891224197
14214,939.0746443776259,923.4319198426933,943.4302799161645,927.9190662814084,947.198430211811,931.8154622065169,949.9589049337155,934.7012235755435,952.7289468691367,937.5932770240042,954.4131139931399,939.3967543900362,955.9726953197932,941.0730429381687,957.5344121178914,942.7483238605075,959.7426914116463,945.0675201969627,962.143571337168,947.577369927926,965.2146347100999,950.7550889117139,968.4152559944768,954.0592874039856
14215,795.7115098472356,783.7653245173327,800.2053203631563,788.3590086275412,803.8531201450081,792.1046906352107,806.4071077933123,794.7541244416105,807.9993300364287,796.4392459875888,809.0117600013652,797.5428026064701,809.9063485109185,798.5258296566916,811.0687324718214,799.7750941354858,812.715692731099,801.5065513260928,814.8698907493053,803.7437822577917,817.4008673924525,806.3557977613311,820.0985940475332,809.132896080595
14216,1052.6548032227245,1033.2950827860825,1061.5708377391447,1042.3765463634923,1074.6233776501015,1055.5950680069275,1087.6608292129538,1068.7896383945456,1099.5343179010306,1080.8182987956116,1106.636479997312,1088.0712146125807,1103.7924483522754,1085.3741008651102,1097.3700161202191,1079.0945203016295,1093.7873099938088,1075.6510726330357,1093.9245184215392,1075.9246934077196,1097.0277886106337,1079.161238723832,1104.1499901228012,1086.4137322973588
14217,912.1849199646836,888.5781960302618,913.6891773242827,890.2803591276521,914.2171332182813,891.0010591700461,914.1860711254362,891.15809674303,913.9774080220055,891.1326939171987,913.7789068610479,891.1136540871261,913.6371084955595,891.1469572171429,913.5381069331647,891.2187686210457,913.4581841166515,891.3063006983731,913.3829925352667,891.3947454028665,913.307370742689,891.4787578743988,913.2305182670722,891.5586667050178
14218,839.3600192770755,823.6750683325963,842.8421152092615,827.2887781757393,845.7065238352035,830.2813397769356,847.7990208022627,832.4987999941645,849.0988711273043,833.9207653853731,850.0586084033445,834.9996489015181,851.0769858974023,836.1343442194692,852.406198254929,837.5772909121231,854.0634364070435,839.345589085233,855.916993269027,841.3083633666868,857.7935908648079,843.2910469251957,859.570831719356,845.1722867377466
14220,828.05540781541,810.4676811676034,829.7744530765231,812.3343387069513,828.2155536797981,810.9189099607491,826.5672634555694,809.4108904261379,826.7383414471836,809.718836018158,828.7775707756281,811.8919065654144,831.6229388435814,814.867542527798,834.1847809974694,817.5571829842305,835.9949421446527,819.4917622493167,837.2198971934874,820.8388552508852,838.3002291262751,822.0382081755147,839.5778763035121,823.4327407493654
14221,1147.3378141701342,1111.6019771606548,1143.7261715125678,1108.0096977694457,1141.415984896733,1105.7993764766218,1148.457671300938,1112.8671895342193,1155.3598974839817,1119.9446821470622,1157.2711440428652,1121.8988958820287,1159.0093940176969,1124.061255472369,1159.6383641595924,1124.7208939592854,1153.924851815317,1119.2744303632346,1150.5937161413146,1115.976227033121,1150.8263420809935,1116.3755466084867,1148.9347850208883,1114.5443804863162
14222,1087.9567694911618,1052.306502689152,1078.531537077264,1042.8904221386713,1074.0466977056637,1038.4263755813229,1072.9848012254306,1037.386390727193,1073.8970772694902,1038.3278193226615,1075.741686155566,1040.2065390704731,1077.8730944599008,1042.3775652623337,1079.9425185738908,1044.491758378793,1081.7905575883822,1046.3895465811254,1083.365841683367,1048.0193437977748,1084.6717159048035,1049.384283382818,1085.735027637403,1050.5110026474638
14224,992.3689388491626,965.9553689699866,994.5404337002733,968.3480714418201,996.7177152870488,970.7410803449695,998.8954176687517,973.1292633441964,1001.0772754973253,975.5165640131739,1003.260384491343,977.9002767190974,1005.4467190762583,980.2825534871716,1007.6346630569477,982.6619748165871,1009.82525749351,985.0397394536419,1012.0175963173504,987.4151007575751,1014.2122147229452,989.7887445451026,1016.4085883930188,992.1602902270008
14225,874.9266953465564,859.8975489119031,875.4848371516224,860.5817492960649,874.5024847868544,859.7223566454416,872.5252762932558,857.865160144681,870.206835903749,855.6638006114191,868.1366144585821,853.7078768972384,866.7198881960193,852.4029052110583,866.1256487964106,851.9177483122321,866.2991498469815,852.1979189917928,867.0229372813412,853.0259864658162,868.0014241668575,854.1064637574091,868.9450321604099,855.1498693409574
14228,1108.8481667173025,1076.8271748046707,1104.4061407334389,1072.6539461463112,1101.3275043975286,1069.8374411662721,1099.689975612061,1068.4559255816084,1099.2763813107977,1068.2917687491931,1099.7184471664448,1068.977413023342,1100.6155512912292,1070.1126582154025,1101.620465112607,1071.3491878869602,1102.4859513073534,1072.4435667883108,1103.0781130704074,1073.2576767206122,1103.3586752566493,1073.7555770171825,1103.3616046259351,1073.9711769846933
14301,657.8368614920579,638.8276484825623,655.8398356186134,636.9900460624541,656.0393940732293,637.3448430635045,657.0326454110307,638.4896077106741,657.9724746692845,639.5772900223816,658.5348073701018,640.2839830766457,658.7215840931152,640.6117713450463,658.6662612346361,640.6942394203916,658.5087085833804,640.6713779971687,658.3422028051415,640.6365790916385,658.2082895660388,640.6314962693342,658.1128748302231,640.6621388824105
14607,1105.9208996144725,1076.7402852607988,1104.1632937201796,1075.2272913240106,1100.1343516653412,1071.4366264606185,1096.6859743783984,1068.2207953896445,1094.7859565645585,1066.5477204996369,1094.2350303457008,1066.2184167171033,1094.423248799299,1066.62308890757,1094.8068819298073,1067.2182649121423,1095.0824851010482,1067.7006237560588,1095.165834816619,1067.9861761090895,1095.0976071764305,1068.1157068106825,1094.9549042772937,1068.1665351556685
14609,842.1057612400033,824.9030841070345,844.1062160019824,827.0477064118638,845.905039069015,828.9871064881702,847.0526254221621,830.2718340769517,847.4352098968264,830.7882859240866,847.1909539889087,830.6747230742377,846.585025988993,830.1964864854021,845.8925230252954,829.6287117774444,845.3186310268868,829.176801364501,844.9658080015487,828.9431837003677,844.8403197265611,828.9343704938547,844.883612881116,829.0917654450559
14611,890.0820253191704,863.3580838388651,888.9300490611776,862.4301727341668,888.346555781752,862.0647420084589,888.0236929741568,861.9545492507175,887.821138736857,861.9594220621442,887.6745756807975,862.0157253769923,887.5548818346865,862.0941976004972,887.4486448875571,862.1816043104191,887.3496973972342,862.271948140007,887.2551817135567,862.3625319031431,887.1637530388106,862.4521632907171,887.0747593538562,862.5403352649972
14613,778.4988530961442,765.2714364645325,778.2445038405427,765.1300008950224,778.3011491652135,765.2966545749562,779.6735495224267,766.7763731934646,782.9900163066889,770.1974388975821,783.9298340482559,771.2392466035793,784.0957394576282,771.504688137962,784.2894416468475,771.7956324198674,782.0520224700514,769.6532234055818,780.4594170002888,768.1532797724356,778.61560288104,766.4000729682399,776.6708076992198,764.5438739949706
14620,1129.1355408084926,1096.0680385515227,1135.1643753738524,1102.3741833283636,1139.4524834648425,1106.9324874640154,1142.4940985926482,1110.236977041472,1144.6420363582774,1112.6425665220777,1146.1503298660675,1114.4022948269396,1147.2010923491248,1115.697525759825,1147.9232121763296,1116.659860418198,1148.4111923341966,1117.3816076019489,1148.7308337128445,1117.9309272183202,1148.9312278535706,1118.3548490972137,1149.0455910875742,1118.6891149808669
14621,850.1841907439979,820.660873699428,853.8387624694071,824.5809091323868,853.6855548218603,824.6850232343274,856.1448137306718,827.3945197170838,865.8662507161905,837.3591098019192,872.6423610410613,844.3709891374222,876.0297959369997,847.9884146124099,876.6989119232073,848.8821125032571,874.7973547818865,847.1999419067749,874.7777867002306,847.3948331382184,871.3926990019522,844.2195264731242,871.9483998326821,844.9804287841253
14701,687.3110712902716,663.4058221470758,689.4674425694951,665.7623128935137,690.8862582393581,667.3763179070431,691.810375542192,668.4908797895761,692.402801119549,669.269194434415,692.772972124068,669.8208778780152,692.9943737573484,670.2195844252493,693.1163562193999,670.5148243336266,693.172063317801,670.7398932300324,693.1837540611004,670.9171938632521,693.1663792169912,671.0618050411427,693.1299631544503,671.1838982476559
14850,1622.4851669114728,1556.8227409227784,1640.0212799096957,1574.9090709268626,1649.5874934925237,1585.0111646938003,1653.276710107445,1589.2248191823132,1653.5074499416994,1589.9665778864112,1652.4103072110258,1589.3696244994233,1651.5290097631869,1588.97541192184,1651.7453485715134,1589.6682370221095,1653.3727309121757,1591.760327840315,1656.320275275408,1595.162978777753,1660.273953965362,1599.561910774594,1664.8467645262922,1604.5706202382953
